time,lat,lon,depth,cruise,station,cast,C14_assimilation_nano_mean,C14_assimilation_nano_stdev,filter_min,bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-05-18T12:00:00,22.75,158,45,252,2,2,0.1157227186000719,0.0228977906353945,3,"""15,16,17""",24.516127427419026,23.74952761332194,35.13768513997396,0.2188914865255355,0.1232778659711281,0.8979228834311167,4.86290196577708,1.1645533296e-06,0.1684951012334166,221.80033365883327,6.636965195339166,0.0003393478327779,0.0375525665779916,0.5100541214149167
2012-05-18T12:00:00,22.75,158,75,252,2,2,0.0379288189065702,0.0059987765957781,3,"""12,13,14""",23.04690249760945,24.2683842976888,35.121917724609375,0.1994682177901268,0.1083305409799019,0.9608849088350933,4.906702558199565,0.0016586833031995,0.1636412267883333,232.54278818783337,6.877041339873333,0.0004634346648041,0.0577267811944166,0.5229695240655
2012-05-18T12:00:00,22.75,158,100,252,2,2,0.01233136083074,0.0019618989502119,3,"""9,10,11""",22.093741178512573,24.63328433036804,35.08419847488403,0.2732849940657615,0.1349064009264111,1.3555280938744545,4.855702877044678,,,,,,,
2012-05-18T12:00:00,22.75,158,125,252,2,2,0.0063196181041169,0.0015564384383603,3,"""6,7,8""",20.98337316513061,25.054359912872314,35.03624629974365,0.6987316608428955,0.1687153503298759,1.6143748462200165,4.81311297416687,,,,,,,
2012-05-30T12:00:00,22.75,158,5,242,2,1,0.1442746137093427,0.0426064924494583,3,"""20,21,22""",26.343444029490158,23.05984401702881,35.09527333577474,0.1702617357174555,0.1292765842129787,0.981614554921786,4.698697209358215,3.4029092136712493e-07,0.1709457503941771,211.88979625695836,6.53979184726906,0.0008917579919701,0.0331292156285312,0.6315138631810521
2012-05-30T12:00:00,22.75,158,25,242,2,1,0.0857162684686831,0.0037698755114828,3,"""17,18,19""",25.668716589609783,23.41070286432902,35.122045834859215,0.1813827914496263,0.132218632226189,0.745832122862339,4.775883515675862,6.773452917564165e-07,0.1683487043611388,219.37527762522225,6.645076526535835,0.0004687242156555,0.0340636030046444,0.5482257786724445
2012-05-30T12:00:00,22.75,158,45,242,2,1,0.0796380323159626,0.0293467312960305,3,"""14,15,16""",24.516127427419026,23.74952761332194,35.13768513997396,0.2188914865255355,0.1232778659711281,0.8979228834311167,4.86290196577708,1.1261856845e-06,0.1669126904259583,222.51003074645837,6.69489290316875,0.0003314875430078,0.0373485038677916,0.5052315903205417
2012-05-30T12:00:00,22.75,158,75,242,2,1,0.0618492477858544,0.0138875298603669,3,"""11,12,13""",23.04690249760945,24.2683842976888,35.121917724609375,0.1994682177901268,0.1083305409799019,0.9608849088350933,4.906702558199565,0.0011097837168562,0.16277096420525,232.4653256733333,6.930594682694167,0.0003985012081102,0.055671938695025,0.5182598605751667
2012-05-30T12:00:00,22.75,158,100,242,2,1,0.0107300268247541,0.0011873209081786,3,"""8,9,10""",22.093741178512573,24.63328433036804,35.08419847488403,0.2732849940657615,0.1349064009264111,1.3555280938744545,4.855702877044678,,,,,,,
2012-05-30T12:00:00,22.75,158,125,242,2,1,0.00694595065058,0.0026082667784237,3,"""5,6,7""",20.98337316513061,25.054359912872314,35.03624629974365,0.6987316608428955,0.1687153503298759,1.6143748462200165,4.81311297416687,,,,,,,
