time,lat,lon,depth,cruise,stime,etime,itype,chl,phaeo,l12,d12,bsal,pbact,hbact,sbact,ebact,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2015-10-13T00:00:00,22.75,-158,125,HOT277,410.0,1915.0,2,0.151,0.366,0.587,,35.1585,42645.0,311122.0,0.0,1626.0,21.348379611968998,25.097631454467773,35.19900608062744,0.3909729719161987,0.1059998255223035,1.9634755849838257,4.754444718360901,,,,,,,
2015-10-13T00:00:00,22.75,-158,150,HOT277,410.0,1915.0,2,0.059,0.156,,,35.0073,12467.0,198396.0,0.0,497.0,20.24960231781006,25.455509185791016,35.12750053405762,1.1978200376033783,0.1796871982514858,2.5438446402549744,4.635692954063416,,,,,,,
2015-10-13T00:00:00,22.75,-158,175,HOT277,410.0,1915.0,2,0.018,0.031,,,34.7728,1147.0,167147.0,0.0,112.0,19.067656993865967,25.78365707397461,35.017029762268066,2.015396386384964,0.210269533097744,2.9185824394226074,4.5949482917785645,,,,,,,
2015-12-08T00:00:00,22.75,-158,5,HOT279,430.0,1830.0,2,0.1,0.068,7.767,,35.0008,205189.0,546340.0,1189.0,772.0,24.60678084691365,23.558402856191,35.15322081247965,0.0217081686326613,0.0581375934804479,1.4000227351983388,4.789896289507548,1.1828843492e-06,0.3126538495221249,216.3461561202917,9.29252211252854,0.0005593209692354,0.0428639025970625,0.5366354777166772
2015-12-08T00:00:00,22.75,-158,25,HOT279,430.0,1830.0,2,0.098,0.074,6.963,,35.0004,254194.0,501599.0,1260.0,1189.0,24.58230527242025,23.65449603398641,35.16369946797689,0.0230379744122425,0.056870241339008,1.307172159353892,4.800397475560506,1.2045306492e-06,0.3124101443423055,216.39841461175,9.290229082106944,0.0004466721196271,0.0434991005394166,0.5318109475902778
2015-12-08T00:00:00,22.75,-158,45,HOT279,430.0,1830.0,2,0.101,0.069,4.257,,35.0006,246399.0,486168.0,1188.0,1072.0,24.522130966186523,23.771475950876876,35.18347613016764,0.026298813521862,0.0566975620264808,1.3530595203240712,4.805225968360901,1.4248342949e-06,0.3120735101400834,216.57070032745835,9.280776858329585,0.00038972986052,0.0444678266843125,0.5241494799652501
2015-12-08T00:00:00,22.75,-158,75,HOT279,430.0,1830.0,2,0.112,0.081,1.413,,35.0065,252937.0,531773.0,1608.0,1079.0,24.21652619043986,24.010682264963787,35.214332580566406,0.0371001108239094,0.054696708296736,1.4407454232374828,4.818197250366211,3.9160618522e-06,0.2922905012965833,226.22400410966665,8.918930292130833,0.0002792953479609,0.057265726539,0.48000568896525
2015-12-08T00:00:00,22.75,-158,100,HOT279,430.0,1830.0,2,0.244,0.284,0.763,,35.2603,128870.0,517270.0,1062.0,2079.0,23.11004996299744,24.50633406639099,35.20557355880737,0.1026976183056831,0.064926529303193,1.631748989224434,4.859270393848419,,,,,,,
2015-12-08T00:00:00,22.75,-158,125,HOT279,430.0,1830.0,2,0.163,0.352,0.277,,35.3033,43113.0,294085.0,0.0,1453.0,21.36459732055664,25.03844118118286,35.16093349456787,0.6192621886730194,0.128187321126461,1.8767581284046173,4.724514961242676,,,,,,,
2015-12-08T00:00:00,22.75,-158,150,HOT279,430.0,1830.0,2,0.071,0.223,,,35.2101,18058.0,251829.0,0.0,691.0,20.081554889678955,25.4524245262146,35.0974006652832,1.3983473479747772,0.1934002079069614,2.331504344940185,4.585557579994202,,,,,,,
