time,lat,lon,depth,time_out,Lat_out,Long_out,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Cruise_ID,niskin_flag,UNOLS,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
1996-01-30T00:00:00,31.67,-64.164,100.0,1996-01-30T00:00,,,,,36.655,0.43,0.42,0.46,0.26,0.17,0.17,1008808106,2,,20.35600185394287,26.311601161956787,36.60848331451416,0.4243191555142402,0.057221196591854,0.9138890653848648,5.04486608505249,,,,,,,
1996-01-30T00:00:00,31.67,-64.164,120.0,1996-01-30T00:00,,,,,36.655,0.23,0.3,0.29,0.26,0.22,0.02,1008808107,2,,19.916390419006348,26.55226802825928,36.60379981994629,0.9340888857841492,0.0600076373666524,0.9537229835987092,4.938505411148071,,,,,,,
1996-01-30T00:00:00,31.67,-64.164,140.0,1996-01-30T00:00,,,,,36.657,0.24,0.2,0.23,0.23,0.23,0.0,1008808108,2,,,,,,,,,,,,,,,
1996-02-15T00:00:00,31.637,-64.164,1.0,1996-02-15T00:00,,,,,36.648,8.47,8.49,9.13,0.37,0.23,8.32,1008908201,2,,19.826822757720947,26.056889057159424,36.64155864715576,0.1785524990409612,0.0366697367280721,0.77928726375103,5.123056054115295,1.917389770823953,0.1571760798076997,229.92154326434988,2.918831307813905,0.0224649668811255,0.3484782381565192,2.2601947112007026
1996-02-15T00:00:00,31.637,-64.164,20.0,1996-02-15T00:00,,,,,36.647,12.45,12.16,,0.19,0.28,12.11,1008908202,2,,19.79941527048747,26.13962300618489,36.64384524027506,0.1783716355760892,0.033671909943223,0.7574095527331034,5.10258158047994,1.947306175602477,0.1602440226997531,229.4896307785989,2.9261387263735927,0.0137823798710692,0.3499219050087567,2.0718434406445687
1996-02-15T00:00:00,31.637,-64.164,40.0,1996-02-15T00:00,,,,,36.647,11.44,10.12,,0.22,0.21,10.56,1008908203,2,,19.74674828847249,26.23013718922933,36.64070192972819,0.2113405962785085,0.0329719974348942,0.7485905488332113,5.093623876571655,2.045341909455412,0.1697667878761617,228.1353352069609,2.952984632923906,0.0048615411124045,0.3230593673652734,1.6264955867078128
1996-02-15T00:00:00,31.637,-64.164,60.0,1996-02-15T00:00,,,,,36.646,3.87,3.85,3.63,0.21,0.24,3.57,1008908204,2,,19.690210660298664,26.325218200683597,36.64144643147787,0.2648634562889735,0.0346231951067845,0.7338643968105316,5.090465227762858,2.1312689733458985,0.1776947421312882,226.97300493715625,2.9767494164405472,0.0021202029220151,0.2837656771298593,1.3351166294886403
1996-02-15T00:00:00,31.637,-64.164,80.0,1996-02-15T00:00,,,,,36.647,1.32,1.35,,0.19,0.18,1.15,1008908205,2,,19.66321341196696,26.420520782470703,36.63892936706543,0.3108898500601451,0.0365483829130729,0.7388923267523447,5.087971925735474,2.284955607261367,0.1902922954468171,225.23358285427335,3.0176190640771883,0.0006117923664987,0.2243706739973437,1.0144227929415703
1996-02-15T00:00:00,31.637,-64.164,100.0,1996-02-15T00:00,,,,,36.648,0.5,0.35,0.66,0.2,0.2,0.3,1008908206,2,,19.61540508270264,26.510491371154785,36.63682174682617,0.3685884773731231,0.0386594841256737,0.7563854902982712,5.082440972328186,,,,,,,
1996-02-15T00:00:00,31.637,-64.164,120.0,1996-02-15T00:00,,,,,36.646,0.27,0.36,0.27,0.24,0.27,0.06,1008908207,2,,19.41244602203369,26.675371170043945,36.6288948059082,0.597590446472168,0.0460072066634893,0.8022499978542328,5.04008674621582,,,,,,,
1996-02-15T00:00:00,31.637,-64.164,140.0,1996-02-15T00:00,,,,,36.648,0.29,0.21,0.23,0.25,0.23,-0.01,1008908208,2,,,,,,,,,,,,,,,
1996-02-28T00:00:00,31.666,-64.167,1.0,1996-02-28T00:00,,,,,36.72,9.87,7.5,10.03,4.2,0.43,4.93,2008908101,2,,19.826822757720947,26.056889057159424,36.64155864715576,0.1785524990409612,0.0366697367280721,0.77928726375103,5.123056054115295,1.917389770823953,0.1571760798076997,229.92154326434988,2.918831307813905,0.0224649668811255,0.3484782381565192,2.2601947112007026
1996-02-28T00:00:00,31.666,-64.167,20.0,1996-02-28T00:00,,,,,36.719,11.66,11.95,11.95,3.4,0.97,8.45,2008908102,2,,19.79941527048747,26.13962300618489,36.64384524027506,0.1783716355760892,0.033671909943223,0.7574095527331034,5.10258158047994,1.947306175602477,0.1602440226997531,229.4896307785989,2.9261387263735927,0.0137823798710692,0.3499219050087567,2.0718434406445687
1996-02-28T00:00:00,31.666,-64.167,40.0,1996-02-28T00:00,,,,,36.718,9.88,9.05,9.37,2.54,0.49,6.89,2008908103,2,,19.74674828847249,26.23013718922933,36.64070192972819,0.2113405962785085,0.0329719974348942,0.7485905488332113,5.093623876571655,2.045341909455412,0.1697667878761617,228.1353352069609,2.952984632923906,0.0048615411124045,0.3230593673652734,1.6264955867078126
1996-02-28T00:00:00,31.666,-64.167,60.0,1996-02-28T00:00,,,,,36.719,3.3,5.99,5.7,3.2,0.4,1.79,2008908104,2,,19.690210660298664,26.325218200683597,36.64144643147787,0.2648634562889735,0.0346231951067845,0.7338643968105316,5.090465227762858,2.1312689733458985,0.1776947421312882,226.97300493715625,2.9767494164405472,0.0021202029220151,0.2837656771298593,1.3351166294886403
1996-02-28T00:00:00,31.666,-64.167,80.0,1996-02-28T00:00,,,,,36.718,4.76,4.12,,4.12,3.51,0.32,2008908105,2,,19.66321341196696,26.420520782470703,36.63892936706543,0.3108898500601451,0.0365483829130729,0.7388923267523447,5.087971925735474,2.284955607261367,0.1902922954468171,225.23358285427335,3.0176190640771887,0.0006117923664987,0.2243706739973437,1.0144227929415703
1996-02-28T00:00:00,31.666,-64.167,100.0,1996-02-28T00:00,,,,,36.715,3.8,3.65,3.63,3.61,0.37,0.08,2008908106,2,,19.61540508270264,26.510491371154785,36.63682174682617,0.3685884773731231,0.0386594841256737,0.7563854902982712,5.082440972328186,,,,,,,
1996-02-28T00:00:00,31.666,-64.167,120.0,1996-02-28T00:00,,,,,36.718,1.14,3.5,3.35,0.46,1.99,2.2,2008908107,2,,19.41244602203369,26.675371170043945,36.6288948059082,0.597590446472168,0.0460072066634893,0.8022499978542328,5.04008674621582,,,,,,,
1996-02-28T00:00:00,31.666,-64.167,140.0,1996-02-28T00:00,,,,,36.689,3.54,2.97,3.55,2.57,0.31,0.78,2008908108,2,,,,,,,,,,,,,,,
1996-03-15T00:00:00,31.669,-64.151,1.0,1996-03-15T00:00,,,,,36.71,5.52,,,1.11,1.15,4.41,1009008101,2,,19.693077564239506,26.06977653503418,36.63015365600586,0.269030537456274,0.0602838145568966,1.036069005727768,5.207340240478516,2.4748856588592747,0.1946646633482303,232.5517745146593,3.073367904971971,0.022809311794118,0.3384696031744255,2.3624995644030813
1996-03-15T00:00:00,31.669,-64.151,20.0,1996-03-15T00:00,,,,,36.709,6.03,6.96,6.96,0.54,0.46,6.1,1009008102,2,,19.62338320414225,26.165356000264484,36.62260182698568,0.2422500203053156,0.0656547707815965,0.9480586548646291,5.218880335489909,2.511189800208874,0.1980268451519442,232.1438297580584,3.0825464784565777,0.0146792681620429,0.3435905475068626,2.163107989607523
1996-03-15T00:00:00,31.669,-64.151,40.0,1996-03-15T00:00,,,,,36.716,6.1,5.76,5.5,0.53,0.67,5.26,1009008103,2,,19.53175640106201,26.274696350097656,36.6191151936849,0.2591355368494987,0.0662473291158676,1.0000677009423573,5.21110463142395,2.6305146723282524,0.2086739077836973,230.67572196758783,3.1166213219233114,0.0057947976569674,0.3232850650879392,1.6909931302070944
1996-03-15T00:00:00,31.669,-64.151,60.0,1996-03-15T00:00,,,,,36.66,7.45,7.38,,0.38,0.58,7.04,1009008104,2,,19.454400062561035,26.38570880889893,36.615365982055664,0.2685355295737584,0.0652280809978644,1.018486589193344,5.185530344645183,2.736435533878641,0.2178126415741142,229.3574105340068,3.1479114712895275,0.0027509832107172,0.2882664904400878,1.3776601826824997
